,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__C,param_preprocessing__bow__ngram_range,param_select__percentile,param_clf__criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
161,1,90,1.7842010021209718,0.5423395474870386,0.4187983512878418,0.0684599297269157,"LogisticRegression(C=1, random_state=0)",1,"(1, 1)",40,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 1, 'preprocessing__bow__ngram_range': (1, 1), 'select__percentile': 40}",0.6666666666666666,0.6111111111111112,0.6111111111111112,0.2777777777777778,0.5294117647058824,0.5392156862745098,0.1378604754852254,136,1.0,1.0,1.0,1.0,1.0,1.0,0.0
173,1,90,5.65583119392395,1.436375089760705,0.4795992374420166,0.08457536278900958,"LogisticRegression(C=1, random_state=0)",0.75,"(1, 3)",80,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 0.75, 'preprocessing__bow__ngram_range': (1, 3), 'select__percentile': 80}",0.6666666666666666,0.6111111111111112,0.5,0.4444444444444444,0.47058823529411764,0.5385620915032681,0.08560345079585518,137,1.0,1.0,1.0,1.0,1.0,1.0,0.0
165,1,90,1.7539997577667237,0.5114806083309207,0.40999951362609866,0.06266724626915247,"LogisticRegression(C=1, random_state=0)",0.75,"(1, 1)",30,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 0.75, 'preprocessing__bow__ngram_range': (1, 1), 'select__percentile': 30}",0.6666666666666666,0.6666666666666666,0.5555555555555556,0.3333333333333333,0.47058823529411764,0.5385620915032681,0.12637217295275244,137,1.0,1.0,1.0,1.0,1.0,1.0,0.0
162,1,90,1.8175146102905273,0.5551132307864847,0.4085994720458984,0.06263672453141912,"LogisticRegression(C=1, random_state=0)",1,"(1, 1)",30,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 1, 'preprocessing__bow__ngram_range': (1, 1), 'select__percentile': 30}",0.6666666666666666,0.6666666666666666,0.5555555555555556,0.3333333333333333,0.47058823529411764,0.5385620915032681,0.12637217295275244,137,1.0,1.0,1.0,1.0,1.0,1.0,0.0
170,1,90,5.532715606689453,1.4444744966696408,0.48099851608276367,0.0735955399325515,"LogisticRegression(C=1, random_state=0)",1,"(1, 3)",80,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 1, 'preprocessing__bow__ngram_range': (1, 3), 'select__percentile': 80}",0.6666666666666666,0.6111111111111112,0.5,0.4444444444444444,0.47058823529411764,0.5385620915032681,0.08560345079585518,137,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,0,30,0.6476401329040528,0.03021418791842961,0.11650505065917968,0.03646366964509493,"LogisticRegression(C=1, random_state=0)",1,"(1, 1)",20,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 1, 'preprocessing__bow__ngram_range': (1, 1), 'select__percentile': 20}",0.5,0.3333333333333333,0.3333333333333333,0.5,1.0,0.5333333333333333,0.24494897427831783,141,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,0,30,0.8666388988494873,0.2657913794147805,0.10399332046508789,0.03233062325284078,"LogisticRegression(C=1, random_state=0)",1,"(1, 1)",60,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 1, 'preprocessing__bow__ngram_range': (1, 1), 'select__percentile': 60}",0.5,0.16666666666666666,0.5,0.5,1.0,0.5333333333333333,0.2666666666666667,141,1.0,1.0,1.0,1.0,1.0,1.0,0.0
45,0,30,0.702998161315918,0.03251464450296048,0.10940318107604981,0.03343410402678015,"LogisticRegression(C=1, random_state=0)",0.5,"(1, 1)",50,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 0.5, 'preprocessing__bow__ngram_range': (1, 1), 'select__percentile': 50}",0.5,0.16666666666666666,0.5,0.5,1.0,0.5333333333333333,0.2666666666666667,141,1.0,1.0,1.0,1.0,1.0,1.0,0.0
43,0,30,0.6702014923095703,0.048441967589169126,0.11320090293884277,0.03440711426658383,"LogisticRegression(C=1, random_state=0)",0.5,"(1, 1)",30,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 0.5, 'preprocessing__bow__ngram_range': (1, 1), 'select__percentile': 30}",0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,0.5333333333333333,0.24494897427831783,141,1.0,1.0,1.0,1.0,1.0,1.0,0.0
21,0,30,0.6480007648468018,0.04971991990706543,0.11000022888183594,0.03401169222372326,"LogisticRegression(C=1, random_state=0)",0.75,"(1, 1)",20,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 0.75, 'preprocessing__bow__ngram_range': (1, 1), 'select__percentile': 20}",0.5,0.3333333333333333,0.3333333333333333,0.5,1.0,0.5333333333333333,0.24494897427831783,141,1.0,1.0,1.0,1.0,1.0,1.0,0.0
191,1,90,2.016907739639282,0.5335494206046166,0.4649994373321533,0.08546594405002567,RandomForestClassifier(random_state=0),,"(1, 1)",50,gini,"{'clf': RandomForestClassifier(random_state=0), 'clf__criterion': 'gini', 'preprocessing__bow__ngram_range': (1, 1), 'select__percentile': 50}",0.5555555555555556,0.7222222222222222,0.5555555555555556,0.2777777777777778,0.5294117647058824,0.5281045751633987,0.14272630295952937,146,1.0,1.0,1.0,1.0,1.0,1.0,0.0
171,1,90,1.9388001441955567,0.5035892710694753,0.40999999046325686,0.06896992331764626,RandomForestClassifier(random_state=0),,"(1, 2)",80,gini,"{'clf': RandomForestClassifier(random_state=0), 'clf__criterion': 'gini', 'preprocessing__bow__ngram_range': (1, 2), 'select__percentile': 80}",0.6111111111111112,0.7222222222222222,0.3888888888888889,0.4444444444444444,0.47058823529411764,0.527450980392157,0.12186694720704362,147,1.0,1.0,1.0,1.0,1.0,1.0,0.0
172,1,90,1.7501603603363036,0.4088285182986426,0.40359959602355955,0.07538359809975134,RandomForestClassifier(random_state=0),,"(1, 1)",60,gini,"{'clf': RandomForestClassifier(random_state=0), 'clf__criterion': 'gini', 'preprocessing__bow__ngram_range': (1, 1), 'select__percentile': 60}",0.6111111111111112,0.7222222222222222,0.4444444444444444,0.3888888888888889,0.47058823529411764,0.527450980392157,0.12186694720704362,147,1.0,1.0,1.0,1.0,1.0,1.0,0.0
164,1,90,3.384036493301392,0.6304692331531354,0.5289968013763428,0.09183246896438936,"LogisticRegression(C=1, random_state=0)",0.5,"(1, 2)",70,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 0.5, 'preprocessing__bow__ngram_range': (1, 2), 'select__percentile': 70}",0.6666666666666666,0.6111111111111112,0.5555555555555556,0.3333333333333333,0.47058823529411764,0.5274509803921569,0.11669183741946043,149,1.0,1.0,1.0,1.0,1.0,1.0,0.0
73,0,30,1.3687992572784424,0.4089144596396748,0.19319992065429686,0.07552036609502298,"LogisticRegression(C=1, random_state=0)",0.25,"(1, 2)",50,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 0.25, 'preprocessing__bow__ngram_range': (1, 2), 'select__percentile': 50}",0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.8,0.5266666666666666,0.18427033281447006,150,1.0,1.0,1.0,1.0,1.0,1.0,0.0
90,0,30,0.7717330932617188,0.05431988182075912,0.11940045356750488,0.032982120419296594,RandomForestClassifier(random_state=0),,"(1, 1)",80,gini,"{'clf': RandomForestClassifier(random_state=0), 'clf__criterion': 'gini', 'preprocessing__bow__ngram_range': (1, 1), 'select__percentile': 80}",0.6666666666666666,0.5,0.5,0.16666666666666666,0.8,0.5266666666666666,0.2122891110412088,150,1.0,1.0,1.0,1.0,1.0,1.0,0.0
84,0,30,0.7863608837127686,0.04259524854155287,0.12320013046264648,0.0318196164559928,RandomForestClassifier(random_state=0),,"(1, 1)",20,gini,"{'clf': RandomForestClassifier(random_state=0), 'clf__criterion': 'gini', 'preprocessing__bow__ngram_range': (1, 1), 'select__percentile': 20}",0.6666666666666666,0.5,0.5,0.16666666666666666,0.8,0.5266666666666666,0.2122891110412088,150,1.0,1.0,1.0,1.0,1.0,1.0,0.0
76,0,30,1.2949987411499024,0.32653639455535777,0.14920082092285156,0.043452929335101566,"LogisticRegression(C=1, random_state=0)",0.25,"(1, 2)",80,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 0.25, 'preprocessing__bow__ngram_range': (1, 2), 'select__percentile': 80}",0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.8,0.5266666666666666,0.18427033281447006,150,1.0,1.0,1.0,1.0,1.0,1.0,0.0
105,0,30,0.770458984375,0.04526283303668858,0.12259950637817382,0.03285476786159556,RandomForestClassifier(random_state=0),,"(1, 1)",20,entropy,"{'clf': RandomForestClassifier(random_state=0), 'clf__criterion': 'entropy', 'preprocessing__bow__ngram_range': (1, 1), 'select__percentile': 20}",0.6666666666666666,0.5,0.5,0.16666666666666666,0.8,0.5266666666666666,0.2122891110412088,150,1.0,1.0,1.0,1.0,1.0,1.0,0.0
111,0,30,0.810199499130249,0.03298185507118197,0.12340011596679687,0.03725353072151774,RandomForestClassifier(random_state=0),,"(1, 1)",80,entropy,"{'clf': RandomForestClassifier(random_state=0), 'clf__criterion': 'entropy', 'preprocessing__bow__ngram_range': (1, 1), 'select__percentile': 80}",0.6666666666666666,0.5,0.5,0.16666666666666666,0.8,0.5266666666666666,0.2122891110412088,150,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,0,30,0.7255748271942138,0.049109893345024885,0.11642131805419922,0.031153306913223475,"LogisticRegression(C=1, random_state=0)",1,"(1, 1)",70,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 1, 'preprocessing__bow__ngram_range': (1, 1), 'select__percentile': 70}",0.5,0.3333333333333333,0.5,0.5,0.8,0.5266666666666666,0.15114378731672848,150,1.0,1.0,1.0,1.0,1.0,1.0,0.0
169,1,90,3.137201356887817,0.797327568114968,0.48560028076171874,0.07956785814978196,"LogisticRegression(C=1, random_state=0)",0.75,"(1, 2)",70,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 0.75, 'preprocessing__bow__ngram_range': (1, 2), 'select__percentile': 70}",0.6666666666666666,0.6111111111111112,0.5,0.3333333333333333,0.47058823529411764,0.5163398692810458,0.11613038347513291,157,1.0,1.0,1.0,1.0,1.0,1.0,0.0
158,1,90,3.0312469959259034,0.8153487433967427,0.4657996654510498,0.07795557087291562,"LogisticRegression(C=1, random_state=0)",1,"(1, 2)",70,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 1, 'preprocessing__bow__ngram_range': (1, 2), 'select__percentile': 70}",0.6666666666666666,0.6111111111111112,0.5,0.3333333333333333,0.47058823529411764,0.5163398692810458,0.11613038347513291,157,1.0,1.0,1.0,1.0,1.0,1.0,0.0
154,1,90,1.7871999263763427,0.45904596241533013,0.39259963035583495,0.0788029244900464,RandomForestClassifier(random_state=0),,"(1, 1)",60,entropy,"{'clf': RandomForestClassifier(random_state=0), 'clf__criterion': 'entropy', 'preprocessing__bow__ngram_range': (1, 1), 'select__percentile': 60}",0.6666666666666666,0.7222222222222222,0.3888888888888889,0.3888888888888889,0.4117647058823529,0.5156862745098039,0.1472460681579613,159,1.0,1.0,1.0,1.0,1.0,1.0,0.0
16,0,30,1.3793992519378662,0.34804878512693915,0.16379837989807128,0.038483192356076126,"LogisticRegression(C=1, random_state=0)",1,"(1, 3)",40,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 1, 'preprocessing__bow__ngram_range': (1, 3), 'select__percentile': 40}",0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.4,0.5133333333333333,0.13597385369580758,160,1.0,1.0,1.0,1.0,1.0,1.0,0.0
14,0,30,1.091599178314209,0.23381231462232385,0.15297999382019042,0.046621915431191194,"LogisticRegression(C=1, random_state=0)",1,"(1, 3)",20,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 1, 'preprocessing__bow__ngram_range': (1, 3), 'select__percentile': 20}",0.6666666666666666,0.5,0.5,0.5,0.4,0.5133333333333333,0.08589399151150082,160,1.0,1.0,1.0,1.0,1.0,1.0,0.0
18,0,30,1.555919885635376,0.3639960954956806,0.15020031929016114,0.04730108804241749,"LogisticRegression(C=1, random_state=0)",1,"(1, 3)",60,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 1, 'preprocessing__bow__ngram_range': (1, 3), 'select__percentile': 60}",0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.4,0.5133333333333333,0.13597385369580758,160,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,0,30,0.9305239200592041,0.17085371834413138,0.13719873428344725,0.04273156681110956,"LogisticRegression(C=1, random_state=0)",1,"(1, 2)",30,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 1, 'preprocessing__bow__ngram_range': (1, 2), 'select__percentile': 30}",0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.4,0.5133333333333333,0.13597385369580758,160,1.0,1.0,1.0,1.0,1.0,1.0,0.0
17,0,30,1.524597454071045,0.2971487154216121,0.16500258445739746,0.04661088827646889,"LogisticRegression(C=1, random_state=0)",1,"(1, 3)",50,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 1, 'preprocessing__bow__ngram_range': (1, 3), 'select__percentile': 50}",0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.4,0.5133333333333333,0.13597385369580758,160,1.0,1.0,1.0,1.0,1.0,1.0,0.0
60,0,30,1.6067235946655274,0.3558534143273036,0.16740055084228517,0.045196960125765955,"LogisticRegression(C=1, random_state=0)",0.5,"(1, 3)",60,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 0.5, 'preprocessing__bow__ngram_range': (1, 3), 'select__percentile': 60}",0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.4,0.5133333333333333,0.13597385369580758,160,1.0,1.0,1.0,1.0,1.0,1.0,0.0
94,0,30,0.8204008102416992,0.07579029222337026,0.12459917068481445,0.032604615960027644,RandomForestClassifier(random_state=0),,"(1, 2)",50,gini,"{'clf': RandomForestClassifier(random_state=0), 'clf__criterion': 'gini', 'preprocessing__bow__ngram_range': (1, 2), 'select__percentile': 50}",0.6666666666666666,0.5,0.5,0.5,0.4,0.5133333333333333,0.08589399151150082,160,1.0,1.0,1.0,1.0,1.0,1.0,0.0
39,0,30,1.5858731269836426,0.3211250966256867,0.15580086708068847,0.0397871190021149,"LogisticRegression(C=1, random_state=0)",0.75,"(1, 3)",60,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 0.75, 'preprocessing__bow__ngram_range': (1, 3), 'select__percentile': 60}",0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.4,0.5133333333333333,0.13597385369580758,160,1.0,1.0,1.0,1.0,1.0,1.0,0.0
35,0,30,1.1103970050811767,0.23351128809456456,0.1556008815765381,0.047142125760961655,"LogisticRegression(C=1, random_state=0)",0.75,"(1, 3)",20,,"{'clf': LogisticRegression(C=1, random_state=0), 'clf__C': 0.75, 'preprocessing__bow__ngram_range': (1, 3), 'select__percentile': 20}",0.6666666666666666,0.5,0.5,0.5,0.4,0.5133333333333333,0.08589399151150082,160,1.0,1.0,1.0,1.0,1.0,1.0,0.0
113,0,30,0.8893102645874024,0.1166297304258267,0.1267995834350586,0.03402038604445873,RandomForestClassifier(random_state=0),,"(1, 2)",30,entropy,"{'clf': RandomForestClassifier(random_state=0), 'clf__criterion': 'entropy', 'preprocessing__bow__ngram_range': (1, 2), 'select__percentile': 30}",0.6666666666666666,0.5,0.5,0.5,0.4,0.5133333333333333,0.08589399151150082,160,1.0,1.0,1.0,1.0,1.0,1.0,0.0
114,0,30,0.8331996440887451,0.055740110912468825,0.13130669593811034,0.034655800217156627,RandomForestClassifier(random_state=0),,"(1, 2)",40,entropy,"{'clf': RandomForestClassifier(random_state=0), 'clf__criterion': 'entropy', 'preprocessing__bow__ngram_range': (1, 2), 'select__percentile': 40}",0.6666666666666666,0.5,0.5,0.5,0.4,0.5133333333333333,0.08589399151150082,160,1.0,1.0,1.0,1.0,1.0,1.0,0.0
100,0,30,0.9133992195129395,0.05852839060555186,0.13640141487121582,0.04599770845002298,RandomForestClassifier(random_state=0),,"(1, 3)",40,gini,"{'clf': RandomForestClassifier(random_state=0), 'clf__criterion': 'gini', 'preprocessing__bow__ngram_range': (1, 3), 'select__percentile': 40}",0.6666666666666666,0.5,0.5,0.5,0.4,0.5133333333333333,0.08589399151150082,160,1.0,1.0,1.0,1.0,1.0,1.0,0.0
